V0	Ø	Time	R
83.64	58.5	9.65	189.32
73.76	47.7	7.95	198.45
80.20	54.9	9.10	195.30
89.08	45.0	8.49	236.57
80.67	43.2	7.83	220.84
60.62	60.6	8.16	137.29
96.72	42.8	8.58	255.19
95.35	55.3	10.00	220.86
72.65	42.5	7.30	202.16
75.94	34.6	6.47	211.94
98.11	35.7	7.63	263.47
83.12	36.5	7.09	230.28
78.03	64.3	9.77	156.37
68.30	57.4	8.52	163.40
82.02	32.9	6.52	226.19
77.11	45.3	7.88	209.96
68.25	36.9	6.35	192.21
76.73	57.2	9.09	181.23
90.38	48.2	8.95	232.86
77.34	30.1	5.89	211.30
97.65	54.2	10.00	228.55
86.05	55.7	9.53	203.44
62.41	51.2	7.52	164.46
67.22	68.6	9.24	120.26
80.74	62.7	9.83	167.62
83.52	57.5	9.55	192.65
95.26	66.9	11.04	167.28
72.47	34.9	6.33	203.00
81.55	52.1	8.90	205.79
93.53	35.3	7.38	253.79
62.60	41.5	6.54	175.85
87.98	57.7	9.83	199.85
63.87	47.3	7.24	174.38
75.61	61.4	9.38	164.17
68.89	46.3	7.48	188.63
69.20	65.0	9.17	138.74
60.65	32.1	5.29	167.03
88.90	60.0	10.10	192.16
71.58	69.6	9.65	122.32
63.13	31.8	5.39	174.05
90.25	30.5	6.51	243.41
60.20	37.1	5.87	169.09
75.99	44.3	7.70	208.54
94.51	38.5	7.89	255.11
89.58	42.0	8.13	241.80
80.55	52.5	8.88	202.84
89.05	54.4	9.57	213.26
96.69	61.1	10.63	198.91
83.82	65.5	10.24	159.64
96.25	54.9	10.01	223.54
77.25	62.8	9.60	161.53
66.38	41.2	6.75	186.52
93.84	50.9	9.44	232.57
82.23	64.7	10.08	160.84
85.37	50.2	8.91	218.40
90.41	37.0	7.50	246.90
88.78	64.8	10.50	169.84
70.97	63.7	9.22	146.91
78.77	53.9	8.91	195.29
66.33	47.8	7.48	179.96
98.37	55.1	10.13	226.32
82.65	45.3	8.20	222.42
80.32	46.7	8.23	215.07
79.20	31.0	6.12	217.32
61.16	34.6	5.63	170.72
99.90	68.9	11.45	160.32
80.43	32.3	6.36	221.75
93.16	30.3	6.60	249.77
83.95	48.6	8.65	219.25
61.89	39.8	6.30	174.31
